PLAYER NAME,TEAMS,COUNTRY,AGE,POSITION,ROLE,RATING,SPEED,SHOOTING,PASSING,DRIBBLING,DEFENCE,FREEKICK
James Garner,Everton,England,24,MID,CM,75,66,65,77,71,71,71
Idrissa Gueye,Everton,Senegal,35,MID,CDM,76,60,60,66,71,78,68
Tim Iroegbunam,Everton,England,22,MID,CDM,69,65,58,64,68,66,71
Dwight McNeil,Everton,England,25,ATT,LW,77,68,73,77,78,55,68
Iliman Ndiaye,Everton,Senegal,25,ATT,SNT,75,84,72,63,82,40,62
Beto,Everton,Portugal,27,ATT,SNT,77,79,76,58,70,25,85
Thierno Barry,Everton,Guinea,22,ATT,SNT,69,77,69,48,68,22,63
Chermiti,Everton,Portugal,21,ATT,SNT,71,67,68,55,69,33,71
Dean Henderson,Crystal Palace,England,28,GK,GK,79,80,76,78,81,55,75
Walter Benítez,Crystal Palace,Argentina,32,GK,GK,80,79,78,72,82,37,79
Remi Matthews,Crystal Palace,England,30,GK,GK,63,64,63,62,63,45,62
Marc Guéhi,Crystal Palace,England,24,DEF,STP,81,72,39,65,72,82,77
Maxence Lacroix,Crystal Palace,France,25,DEF,STP,76,88,41,55,67,76,77
Chadi Riad,Crystal Palace,Morocco,21,DEF,STP,72,62,32,54,54,72,74
Chris Richards,Crystal Palace,USA,25,DEF,STP,76,71,27,59,61,76,74
Tyrick Mitchell,Crystal Palace,England,24,DEF,LB,77,75,41,62,73,76,69
Borna Sosa,Crystal Palace,Croatia,27,DEF,LB,75,71,53,78,75,67,71
Daniel Muñoz,Crystal Palace,Colombia,29,DEF,RB,80,84,66,72,76,75,82
Nathaniel Clyne,Crystal Palace,England,34,DEF,RB,74,70,60,68,72,74,67
Caleb Kporha,Crystal Palace,England,19,DEF,RB,61,69,59,56,60,57,61
Adam Wharton,Crystal Palace,England,21,MID,CDM,78,68,61,78,78,75,71
Cheick Doucouré,Crystal Palace,Mali,25,MID,CDM,79,65,57,70,75,76,76
Jefferson Lerma,Crystal Palace,Colombia,29,MID,CDM,79,72,71,71,74,77,81
Will Hughes,Crystal Palace,England,30,MID,CDM,74,43,63,75,73,71,63
Justin Devenny,Crystal Palace,Northern Ireland,21,MID,CM,60,64,58,60,59,56,65
Naouirou Ahamada,Crystal Palace,France,23,MID,CM,69,70,63,66,73,61,62
Eberechi Eze,Crystal Palace,England,27,MID,CMM,81,78,81,78,84,49,69
Daichi Kamada,Crystal Palace,Japan,28,MID,CMM,81,79,73,80,83,54,63
Matheus França,Crystal Palace,Brazil,21,MID,CMM,69,77,70,61,75,36,65
Ismaïla Sarr,Crystal Palace,Senegal,27,ATT,RW,76,91,76,66,79,22,68
Romain Esse,Crystal Palace,England,19,ATT,RW,64,73,53,59,68,47,56
Jesurun Rak-Sakyi,Crystal Palace,England,22,ATT,RW,71,83,69,63,75,24,51
Malcolm Ebiowei,Crystal Palace,England,21,ATT,RW,66,76,62,60,70,38,53
Jean-Philippe Mateta,Crystal Palace,France,26,ATT,SNT,79,76,78,63,73,39,82
Eddie Nketiah,Crystal Palace,England,26,ATT,SNT,76,79,74,58,78,25,66
Odsonne Edouard,Crystal Palace,France,27,ATT,SNT,75,73,75,67,76,45,69
Neto,Bournemouth,Brazil,36,GK,GK,78,80,72,73,82,53,76
Alex Paulsen,Bournemouth,New Zealand,23,GK,GK,70,68,65,70,73,49,64
Will Dennis,Bournemouth,England,25,GK,GK,67,70,65,63,69,33,66
Ilya Zabarnyi,Bournemouth,Ukraine,22,DEF,STP,77,63,37,62,61,78,76
Marcos Senesi,Bournemouth,Argentina,28,DEF,STP,78,57,42,70,72,79,77
Chris Mepham,Bournemouth,Wales,27,DEF,STP,71,47,37,55,60,72,72
James Hill,Bournemouth,England,23,DEF,STP,69,70,39,57,59,69,72
Matai Akinmboni,Bournemouth,USA,18,DEF,STP,53,54,25,36,37,53,60
Adrien Truffert,Bournemouth,France,23,DEF,LB,77,76,57,71,75,73,69
Julio Soler,Bournemouth,Spain,20,DEF,LB,65,82,41,49,62,62,60
Julian Araujo,Bournemouth,Mexico,23,DEF,RB,74,90,33,62,69,70,75
Adam Smith,Bournemouth,England,34,DEF,RB,73,65,59,70,70,72,70
Tyler Adams,Bournemouth,USA,26,MID,CDM,77,77,50,68,72,77,74
Ryan Christie,Bournemouth,Scotland,30,MID,CM,76,76,70,75,77,71,78
Alex Scott,Bournemouth,England,21,MID,CM,74,73,62,73,79,65,68
Lewis Cook,Bournemouth,England,28,MID,CDM,77,60,62,75,77,73,68
Philip Billing,Bournemouth,Denmark,29,MID,CM,77,50,77,73,73,72,80
Romain Faivre,Bournemouth,France,27,ATT,RW,77,71,73,76,80,62,65
Marcus Tavernier,Bournemouth,England,26,ATT,LW,76,77,72,71,78,60,64
Justin Kluivert,Bournemouth,Netherlands,28,MID,CMM,77,88,75,73,81,38,65
Antoine Semenyo,Bournemouth,Ghana,25,ATT,RW,76,85,72,67,77,27,75
Dango Ouattara,Bournemouth,Burkina Faso,23,ATT,LW,74,85,68,65,77,47,57
Luis Sinisterra,Bournemouth,Colombia,26,ATT,LW,77,88,71,69,82,52,51
David Brooks,Bournemouth,Wales,28,ATT,RW,74,65,69,73,77,48,58
Evanilson,Bournemouth,Brazil,25,ATT,SNT,80,76,78,65,78,37,80
Eli Junior Kroupi,Bournemouth,France,19,ATT,SNT,68,71,67,66,74,45,54
Yasin Ozcan,Aston Villa,Turkiye,19,DEF,LB,63,65,36,45,55,64,67
Bernd Leno,Fulham,Germany,33,GK,GK,82,83,79,76,84,53,62
Benjamin Lecomte,Fulham,France,34,GK,GK,77,76,75,77,76,41,75
Joachim Andersen,Fulham,Denmark,29,DEF,STP,80,52,57,72,66,79,84
Calvin Bassey,Fulham,Nigeria,25,DEF,STP,76,82,44,62,67,74,86
Issa Diop,Fulham,France,27,DEF,STP,77,57,37,53,55,77,80
Jorge Cuenca,Fulham,Spain,25,DEF,STP,74,60,37,60,53,76,67
Antonee Robinson,Fulham,England,25,DEF,LB,79,88,46,71,77,74,77
Ryan Sessegnon,Fulham,England,23,DEF,LB,74,77,64,72,76,71,64
Kenny Tete,Fulham,Netherlands,29,DEF,RB,76,73,47,67,69,75,77
Timothy Castagne,Fulham,Belgium,29,DEF,RB,77,72,57,71,73,74,72
Sander Berge,Fulham,Norway,28,MID,CM,76,53,65,73,71,75,85
Sasa Lukic,Fulham,Serbia,27,MID,CM,75,53,69,74,75,70,70
Harrison Reed,Fulham,England,27,MID,CDM,75,59,60,71,71,72,74
Tom Cairney,Fulham,Scotland,26,MID,CM,75,52,72,78,75,63,65
Emile Smith Rowe,Fulham,Brazil,25,MID,CMM,77,76,71,74,80,43,61
Andreas Pereira,Fulham,England,29,ATT,RW,78,74,77,80,78,66,69
Alex Iwobi,Fulham,England,25,ATT,RW,77,75,65,72,80,56,75
Harry Wilson,Fulham,Wales,22,ATT,RW,75,76,77,75,76,43,58
Adama Traoré,Fulham,Spain,28,ATT,RW,75,93,65,64,81,37,80
Rodrigo Muniz,Fulham,Brazil,26,ATT,SNT,75,73,74,59,71,42,77
Raúl Jiménez,Fulham,Mexico,34,ATT,SNT,74,54,76,73,73,45,78
José Sá,Wolverhampton,Portugal,32,GK,GK,79,80,75,70,81,52,78
Sam Johnstone,Wolverhampton,England,32,GK,GK,78,79,79,69,80,41,76
Daniel Bentley,Wolverhampton,England,32,GK,GK,72,73,67,69,73,46,72
Tom King,Wolverhampton,Wales,30,GK,GK,64,64,63,61,64,42,63
Toti,Wolverhampton,Portugal,26,DEF,STP,76,79,47,65,66,76,76
Emmanuel Agbadou,Wolverhampton,Ivory Coast,28,DEF,STP,77,63,47,55,60,76,83
Santiago Bueno,Wolverhampton,Uruguay,26,DEF,STP,77,50,31,56,56,78,78
Yerson Mosquera,Wolverhampton,Colombia,24,DEF,STP,70,78,30,49,52,69,73
Hugo Bueno,Wolverhampton,Spain,22,DEF,LB,72,75,53,71,77,65,65
Ki-Jana Hoever,Wolverhampton,Netherlands,23,DEF,RB,72,73,54,68,69,67,71
Pedro Lima,Wolverhampton,Brazil,19,DEF,RB,68,85,48,67,72,60,57
Matt Doherty,Wolverhampton,Ireland,33,DEF,RB,73,67,65,69,69,72,73
Joao Gomes,Wolverhampton,Brazil,24,MID,CDM,78,70,65,72,74,76,75
Jean-Ricner Bellegarde,Wolverhampton,France,27,MID,CM,75,81,63,73,79,69,72
Marshall Munetsi,Wolverhampton,Zimbabwe,29,MID,CM,76,69,69,71,72,73,80
Rodrigo Gomes,Wolverhampton,Portugal,22,ATT,RW,72,81,67,64,74,52,51
Gonçalo Guedes,Wolverhampton,Portugal,28,ATT,SNT,77,83,79,71,81,37,68
Enso González,Wolverhampton,Paraguay,20,ATT,LW,63,81,52,58,69,35,40
Jørgen Strand Larsen,Wolverhampton,Norway,25,ATT,SNT,75,77,75,58,69,32,82
Fábio Silva,Wolverhampton,Portugal,23,ATT,SNT,73,74,73,58,74,31,72
Ferdi Kadioglu,Brighton,Turkiye,25,DEF,LB,81,88,65,75,85,75,76
Sasa Kalajdzic,Wolverhampton,Austria,28,ATT,SNT,77,51,75,68,71,46,68
Max Weib,Burnley,Germany,21,GK,GK,62,64,60,64,70,32,52
Etienne Green,Burnley,England,25,GK,GK,68,69,68,71,69,26,67
Vaclav Hladky,Burnley,Czech Republic,34,GK,GK,68,69,68,71,69,26,67
Maxime Esteve,Burnley,France,23,DEF,STP,74,61,33,52,54,74,77
Jordan Beyer,Burnley,Germany,25,DEF,STP,76,72,34,63,70,76,75
Joe Worrall,Burnley,England,28,DEF,STP,74,50,25,51,45,75,76
Hjalmar Ekdal,Burnley,Sweden,26,DEF,STP,72,59,33,52,62,72,75
Hannes Delcroix,Burnley,Belgium,26,DEF,STP,72,67,33,61,62,72,70
Quilindschy Hartman,Burnley,Netherlands,23,ATT,LW,77,80,53,77,74,72,77
Bashir Humphreys,Burnley,England,22,DEF,STP,68,62,35,58,59,68,68
Lucas Pires,Burnley,Brazil,24,DEF,LB,72,76,49,64,64,67,66
Owen Dodgson,Burnley,England,22,DEF,LB,63,68,46,61,59,59,65
Axel Tuanzebe,Burnley,England,27,DEF,STP,73,80,36,62,68,72,70
Connor Roberts,Burnley,England,29,DEF,RB,73,76,61,70,70,68,73
Kyle Walker,Burnley,England,35,DEF,RB,84,89,64,77,78,79,81
Oliver Sonne,Burnley,Denmark,24,DEF,RB,70,77,45,63,67,63,66
Shurandy Sambo,Burnley,Netherlands,23,DEF,RB,69,79,43,60,67,64,72
Josh Cullen,Burnley,Ireland,29,MID,CDM,76,60,61,75,73,72,70
Josh Laurent,Burnley,England,30,MID,CDM,70,77,60,61,68,69,85
Hannibal,Burnley,Tunisia,22,MID,CM,69,73,60,70,70,64,75
Aaron Ramsey,Burnley,England,22,ATT,LW,70,73,63,67,72,50,60
Jaidon Anthony,Burnley,England,25,ATT,LW,72,77,66,68,74,39,63
Jacob Bruun Larsen,Burnley,England,26,ATT,LW,73,81,72,70,73,55,66
Mike Tresor,Burnley,Belgium,26,ATT,LW,75,85,68,74,77,38,58
Darko Churlinov,Burnley,North Macedonia,25,ATT,RW,68,78,66,63,72,51,54
Jaydon Banel,Burnley,Netherlands,20,ATT,LW,64,79,56,56,67,29,48
Marcus Edwards,Burnley,England,26,ATT,RW,79,85,70,72,85,30,48
Loum Tchaouna,Burnley,France,21,ATT,LW,70,75,72,63,71,37,59
Zeki Amdouni,Burnley,Tunisia,24,ATT,SNT,73,69,74,69,75,46,70
Zian Flemming,Burnley,England,26,ATT,SNT,74,70,75,72,73,57,79
Yunus Emre Konak,Brentford,Turkiye,19,MID,CDM,60,60,43,55,54,57,56
Michael Obafemi,Burnley,Ireland,25,ATT,SNT,69,80,68,56,70,23,64
Ashley Barnes,Burnley,England,35,ATT,SNT,71,47,72,69,69,47,79
Illan Meslier,Leeds United,France,25,GK,GK,74,75,73,70,76,38,70
Lucas Perri,Leeds United,Brazil,27,GK,GK,78,81,73,80,81,35,75
Karl Darlow,Leeds United,Wales,34,GK,GK,72,73,70,66,75,58,72
Alex Cairns,Leeds United,England,32,GK,GK,63,63,61,62,63,49,62
Ethan Ampadu,Leeds United,Wales,24,DEF,STP,75,68,51,64,69,76,77
Pascal Struijk,Leeds United,Netherlands,25,DEF,STP,74,56,46,59,64,74,78
Jaka Bijol,Leeds United,Slovenia,26,DEF,STP,75,59,59,65,61,75,77
Joe Rodon,Leeds United,Wales,27,DEF,STP,75,70,32,51,59,76,77
Sebastiaan Bornauw,Leeds United,Belgium,26,DEF,STP,74,74,45,59,55,74,77
Gabriel Gudmundsson,Leeds United,Sweden,26,DEF,LB,74,85,64,69,72,67,72
Sam Byram,Leeds United,England,31,DEF,LB,72,71,57,65,71,71,69
Jayden Bogle,Leeds United,England,25,DEF,RB,73,79,55,67,74,69,68
Isaac Schmidt,Leeds United,Switzerland,25,DEF,LB,71,86,54,59,74,66,66
Anton Stach,Leeds United,Germany,26,MID,CM,77,73,68,74,72,77,80
Ao Tanaka,Leeds United,Japan,26,MID,CDM,73,68,67,69,72,70,70
Ilia Gruev,Leeds United,Bulgaria,25,MID,CDM,73,67,48,69,71,70,68
Charlie Crew,Leeds United,Wales,19,MID,CDM,62,64,33,57,61,57,59
Sean Longstaff,Leeds United,England,27,MID,CM,76,56,68,73,73,73,71
Darko Gyabi,Leeds United,England,21,MID,CDM,66,59,50,60,64,64,71
Brenden Aaronson,Leeds United,USA,24,MID,CMM,73,79,65,69,77,55,59
Largie Ramazani,Leeds United,Belgium,24,ATT,RW,71,87,64,62,75,33,57
Wilfried Gnonto,Leeds United,Italy,21,ATT,RW,74,87,72,65,79,30,66
Daniel James,Leeds United,Wales,27,ATT,RW,75,93,70,66,74,46,66
Jack Harrison,Leeds United,England,28,ATT,RW,76,79,71,70,78,49,69
Joel Piroe,Leeds United,Netherlands,25,ATT,SNT,74,64,75,63,71,29,71
Sam Greenwood,Leeds United,England,23,ATT,LW,69,71,67,67,69,52,69
Mateo Joseph,Leeds United,Spain,21,ATT,SNT,68,82,67,50,67,28,63
Lukas Nmecha,Leeds United,Germany,26,ATT,SNT,77,76,77,66,77,40,77
Joe Gelhardt,Leeds United,England,23,MID,CMM,69,74,68,60,75,29,69
Patrick Bamford,Leeds United,England,31,ATT,SNT,74,74,72,68,71,41,74
Anthony Patterson,Sunderland,England,25,GK,GK,72,71,69,72,75,24,68
Blondy Nna Noukeu,Sunderland,Cameroon,23,GK,GK,57,59,55,55,64,17,53
Simon Moore,Sunderland,England,35,GK,GK,65,66,64,68,66,47,62
Daniel Ballard,Sunderland,Northern Ireland,25,DEF,STP,73,60,30,53,57,72,81
Jenson Seelt,Sunderland,Netherlands,22,DEF,STP,66,65,35,48,50,65,71
Luke O'Nien,Sunderland,England,22,DEF,STP,70,72,58,62,65,68,82
Aji Alese,Sunderland,England,30,DEF,LB,66,75,33,52,60,66,74
Joe Anderson,Sunderland,England,24,DEF,STP,63,55,35,48,50,63,64
Dennis Cirkin,Sunderland,England,24,DEF,LB,68,77,47,58,65,64,62
Nectarios Triantis,Sunderland,Australia,22,DEF,STP,65,57,34,56,48,63,70
Leo Fuhr Hjelde,Sunderland,Norway,21,DEF,LB,65,67,32,54,60,64,67
Trai Hume,Sunderland,Northern Ireland,23,DEF,RB,73,81,37,61,67,70,79
Timothee Pembele,Sunderland,France,22,DEF,RB,69,80,49,63,71,64,62
Niall Huggins,Sunderland,Wales,24,DEF,LB,68,83,52,58,70,63,62
Granit Xhaka,Sunderland,Switzerland,32,MID,CDM,86,50,75,85,74,79,82
Pierre Ekwah,Sunderland,France,23,MID,CM,68,61,65,64,66,62,72
Habib Diarra,Sunderland,Senegal,21,MID,CM,73,68,63,69,73,69,70
Enzo Le Fee,Sunderland,France,25,MID,CM,77,63,57,78,80,62,57
Enes Unal,Bournemouth,Turkiye,28,ATT,SNT,78,67,80,68,77,40,80
Dan Neil,Sunderland,England,23,MID,CDM,73,73,64,66,72,68,77
Alan Browne,Sunderland,Ireland,30,MID,CM,70,70,69,70,72,69,78
Jay Matete,Sunderland,England,24,MID,CM,64,73,55,61,70,62,67
Abdoullah Ba,Sunderland,France,22,ATT,RW,68,74,60,63,71,56,62
Chris Rigg,Sunderland,England,18,MID,CM,61,61,54,60,65,52,57
Simon Adingra,Sunderland,Ivory Coast,23,ATT,RW,76,88,70,69,80,30,52
Romaine Mundle,Sunderland,England,22,ATT,LW,64,77,56,57,71,38,55
Chemsdine Talbi,Sunderland,Belgium,20,ATT,RW,63,79,52,57,71,29,40
Patrick Roberts,Sunderland,England,28,ATT,RW,71,81,65,66,77,28,44
Ian Poveda,Sunderland,Colombia,25,ATT,RW,69,76,56,60,74,33,54
Eliezer Mayenda,Sunderland,Spain,20,ATT,SNT,60,53,60,54,61,29,59
Nazariy Rusyn,Sunderland,Ukraine,26,ATT,SNT,66,77,66,45,64,20,53
